energy,liveness,speechiness,danceability,valence,uri
0.371,0.315,0.109,0.844,0.286,spotify:track:4TvYoekBPWtECvJA7x0r9W
0.759,0.086,0.0462,0.619,0.211,spotify:track:1nrbhaFaOqm8qhdeX5kzxy
0.747,0.173,0.0859,0.568,0.177,spotify:track:5JoyR8wu5YAyp9DWCj96Lh
0.766,0.352,0.0315,0.687,0.583,spotify:track:6gTaTPCJ45z67R2rzzY0Ea
0.849,0.245,0.083,0.742,0.358,spotify:track:3ABBsIzo8tU5SzZwlDS9cn
0.893,0.232,0.0473,0.517,0.238,spotify:track:1Qd3MtCBJZTQHN8AIFA07b
0.888,0.17,0.0422,0.4,0.828,spotify:track:4vm37DJ67dYolRCBh3kKHi
0.697,0.0632,0.0262,0.725,0.753,spotify:track:6H00deRcEfT3TmliRdmPMN
0.723,0.348,0.0319,0.604,0.721,spotify:track:78djvpdPgaAOj2g0w9N9JB
0.916,0.133,0.0294,0.617,0.564,spotify:track:0hadiF8PnAo1YiU3kGdf5e
0.806,0.511,0.0369,0.775,0.966,spotify:track:0CDR1stuOLmICbuHZ4G6e4
0.842,0.196,0.0326,0.672,0.695,spotify:track:0EHP9Pr2xmO5RkDA9Grous
0.71,0.0936,0.0308,0.434,0.516,spotify:track:2x22VXSKR9ky0okljsHV0o
0.466,0.062,0.0768,0.798,0.98,spotify:track:09Xbo3GogYO6XJPBsv9fGt
0.908,0.0997,0.0435,0.67,0.699,spotify:track:3wWI5m07xzqVHBxJby74jA
0.644,0.102,0.0278,0.559,0.867,spotify:track:1UUQvmpiNxmdQq1CbEFnKO
0.657,0.285,0.0301,0.506,0.456,spotify:track:7LtSmZ44dalx7as0GAYyVK
0.513,0.0968,0.038,0.671,0.47,spotify:track:6gGPyNrjCcfdDo1jWx3HrB
0.618,0.0708,0.152,0.761,0.402,spotify:track:3cEQcL6Liim9pMbQchtcNh
0.861,0.0887,0.057,0.655,0.739,spotify:track:2QGGJilXB2TjtRKgDJXhwN
0.569,0.108,0.0378,0.856,0.89,spotify:track:0RkPSqXhJChZ6a3KCwhQzA
0.811,0.36,0.0376,0.637,0.0347,spotify:track:6TBd9UCDs8CgsEZVmo70Ms
0.665,0.238,0.0386,0.768,0.823,spotify:track:5zlb9AuvrSccK5BxSsdtU9
0.675,0.182,0.064,0.434,0.396,spotify:track:50SAUnIL5aBMsIFjQVtalM
0.787,0.109,0.142,0.678,0.525,spotify:track:5AD1rjAhmGCvWTjEMDXedT
0.898,0.145,0.029,0.733,0.906,spotify:track:7CbVu1Ed4pBFCKBZAt1Eht
0.855,0.108,0.0349,0.651,0.319,spotify:track:6C3B8sIaV5pBiyTVWa4rB5
0.884,0.542,0.0631,0.601,0.195,spotify:track:4RBe01qmWehrMXkz73qplv
0.638,0.112,0.241,0.681,0.318,spotify:track:5iZWvCDpIvEeLiy3UzfYLi
0.653,0.099,0.038,0.653,0.78,spotify:track:2EnzljLU85jXQQpmaNCCou
0.649,0.105,0.0334,0.506,0.113,spotify:track:0P3V6iqjeND6tl68Htx4cz
0.402,0.0876,0.0715,0.771,0.437,spotify:track:5z8xCrnaG63AO752hZ3dji
0.905,0.118,0.0578,0.8,0.968,spotify:track:0ft9Xf3AqTM591IXW6jZfr
0.152,0.106,0.056,0.202,0.0363,spotify:track:1JVtk5W3H72fUorvNmeyK6
0.504,0.0826,0.0449,0.559,0.229,spotify:track:3JQsZU8W2puYIMOEZy02Zf
0.618,0.13,0.22,0.666,0.322,spotify:track:4VrXVmILEnUfWIQ3CTAsmA
0.506,0.0792,0.109,0.795,0.364,spotify:track:3KUv7p5COTi3DLrJj53ogz
0.744,0.0769,0.0335,0.582,0.762,spotify:track:20Q4yS4AneuMuOA75An6Lk
0.823,0.291,0.0619,0.799,0.688,spotify:track:1GI6hgCtZBKUcgvVsD7hIO
0.937,0.104,0.0539,0.656,0.388,spotify:track:3htJajwGGS1zv9H6rQZrrD
0.778,0.085,0.0498,0.569,0.823,spotify:track:2YUrZIaBThMvJEIGGcNj0e
0.792,0.391,0.0488,0.472,0.725,spotify:track:4WjdpCTyuboceJuBUEvtcr
0.903,0.329,0.103,0.429,0.18,spotify:track:3JkqGR2ykDREpc6nnlG7Dr
0.66,0.327,0.0398,0.542,0.105,spotify:track:1xqRE40H8RYcgQ33LnkdCA
0.698,0.214,0.0673,0.439,0.541,spotify:track:35Ci4GQoJdvFOglAOKgPoC
0.783,0.155,0.0288,0.535,0.474,spotify:track:36zWCvXgidDRnAzm8or1co
0.791,0.117,0.034,0.668,0.53,spotify:track:5BHZuT9K0FCMBGHMUgJmLK
0.726,0.0427,0.0437,0.543,0.505,spotify:track:40VZazKq6lJJzml8fFreeg
0.568,0.872,0.0465,0.572,0.551,spotify:track:0wwS4GUW0rMqTeftFLYLT5
0.548,0.116,0.0561,0.518,0.52,spotify:track:74TEYuQIhpneQUn0fp7c3K
0.689,0.452,0.177,0.53,0.183,spotify:track:01c8M5tqkmkK2VTb1Kmr0j
0.657,0.122,0.0369,0.538,0.272,spotify:track:0DP9R1xKgN2MkFlddbSMcq
0.846,0.158,0.0511,0.759,0.577,spotify:track:0iJyQkU9TzQcHJZi8iYhXX
0.792,0.103,0.079,0.804,0.665,spotify:track:3133KfDz8u6JIfHIk7EEjI
0.667,0.195,0.0404,0.394,0.792,spotify:track:5avkWw1FBB3DtI59DzT06m
0.664,0.116,0.0306,0.589,0.532,spotify:track:4zCOHTqA3h8xKkB2JqadyG
0.915,0.229,0.0643,0.442,0.383,spotify:track:0INmPLN7SrHSRv22PlUuhS
0.689,0.109,0.148,0.676,0.346,spotify:track:2kVet3sjFPr4ubkM05HaqV
0.478,0.158,0.0462,0.609,0.349,spotify:track:0G2iKPRFwAdjv33HOgSwIv
0.941,0.168,0.216,0.411,0.413,spotify:track:6akXqU2HT7NlymkWKpZgf6
0.626,0.182,0.0276,0.662,0.572,spotify:track:4DLlCAsgRWvhKCLM97g6w2
0.7,0.0695,0.0383,0.731,0.518,spotify:track:1M1yyzKTIoSNxxsXCfVGW0
0.664,0.284,0.0297,0.661,0.496,spotify:track:3Hc0vRjLZ1s3ZOqBSF2zKU
0.717,0.186,0.0264,0.474,0.396,spotify:track:1mqEw1fuIxS3znnARMrqFC
0.69,0.0927,0.0287,0.451,0.409,spotify:track:2rwnvQtLLn9OBArGBk4Xvv
0.836,0.266,0.0302,0.641,0.523,spotify:track:3UZSxWjRuGbeB7qe31N6Ie
0.412,0.0974,0.0748,0.847,0.239,spotify:track:4NKdQ4BbHXzQXmyqYELPto
0.564,0.13,0.0486,0.772,0.289,spotify:track:1irdtpOwOFZtTse5ScbIOG
0.736,0.0902,0.0584,0.537,0.335,spotify:track:6WQQ8jUugtZ231l5CVXICW
0.754,0.122,0.0258,0.566,0.7,spotify:track:3S0ekNT7SX9PX1jCYg947v
0.728,0.0991,0.0306,0.609,0.136,spotify:track:4TaKEfoFlp4ABhKqJPgV7X
0.889,0.237,0.0397,0.653,0.562,spotify:track:1gvq4UQ3RiR8z68Zmfaf0R
0.445,0.216,0.0363,0.727,0.777,spotify:track:3xa0Rhj2U8xV2z1HWskUSg
0.614,0.27,0.0778,0.975,0.686,spotify:track:7wpMl7PGFbLNmLQJwaBtzi
0.294,0.0932,0.0283,0.549,0.0967,spotify:track:6rIORmU4d3QUdsv4zuUNPV
0.923,0.319,0.0852,0.582,0.529,spotify:track:0NCbYltzMCdkrla8XBgOQ1
0.692,0.107,0.0374,0.577,0.392,spotify:track:7m1jbnRlqOwnjPJ6pZIVnn
0.846,0.0653,0.158,0.527,0.514,spotify:track:7A5iFQYFaCSArWsXGAK29j
0.817,0.376,0.346,0.47,0.485,spotify:track:5mL5n4vPBXDfjMlMntwn3N
0.71,0.104,0.0533,0.708,0.663,spotify:track:1iTLNdyHWBSotoHpAWTS8c
0.954,0.386,0.05,0.503,0.629,spotify:track:6DrXiD2U5lSXMkhkc3XCPZ
0.87,0.0685,0.0601,0.804,0.502,spotify:track:0EcqhXEHwuPJkp4OVgGcTE
0.879,0.0536,0.11,0.634,0.773,spotify:track:5AuJuiAQZ71VUBXHRkjhyi
0.657,0.0675,0.0435,0.536,0.443,spotify:track:4ZpWCUGDfNgVAA1sLtXUII
0.904,0.293,0.0682,0.618,0.661,spotify:track:1RWh4OZ5OER9GasKO4H2YH
0.706,0.356,0.257,0.769,0.303,spotify:track:5nlJdGUVNkIBYLqvmfXNTB
0.605,0.17,0.0678,0.701,0.0743,spotify:track:4CqOgrEoP2eKGX2SJfpIDi
0.764,0.136,0.0327,0.359,0.086,spotify:track:6Ns8dRzZlcMb5qFsXzdhKb
0.753,0.068,0.049,0.568,0.594,spotify:track:4fFKK71Xuiv4UvB984gOo4
0.907,0.0871,0.0397,0.54,0.0944,spotify:track:4iCjy8L97pN7clznbvZndS
0.695,0.0761,0.0597,0.577,0.452,spotify:track:5xkQBnWHiginVoxsdsIEc6
0.588,0.0814,0.144,0.667,0.714,spotify:track:2O1kDGZ4VHMzhREJruMOON
0.549,0.0872,0.0414,0.674,0.635,spotify:track:1K9XgeALj8BRVSz3yGmQr4
0.753,0.282,0.0388,0.564,0.392,spotify:track:5sNacxO2WCQFc21WddPjUc
0.801,0.153,0.0463,0.45,0.42,spotify:track:5u17Cxi6uKACmH0TxnTCme
0.867,0.166,0.0356,0.689,0.119,spotify:track:002OjybZ5AFQWkgaNptlD9
0.857,0.0482,0.0356,0.62,0.274,spotify:track:0sTfFhvIHO6DhXqe25z0i3
0.668,0.207,0.0565,0.725,0.279,spotify:track:3BmQClxS8bfecn5ReGqmwE
0.915,0.27,0.0357,0.623,0.596,spotify:track:3uMJYaLfa9V7ed0b7GEWDP
0.589,0.446,0.0333,0.747,0.202,spotify:track:5iS7z22PUoDVNjrpX93edF
0.451,0.242,0.0667,0.483,0.277,spotify:track:11AeZwzBUbgwWZRDaLGJ0U
